г.Донецк Стройдеревня  Куйбышева 70,,
тел. +7949-321-65-80 Ольга ,,
    Галоши/тапки,,
        Шлепки Сабо закрытые мужск 41-47 (6)Ч, 255.00 ,шт
    Картины,,шт
        Алмазная мозаика 25*35, 484.00 ,шт
        Алмазная мозаика 35*45 / 30*40, 660.00 ,шт
        Алмазная мозаика рамка 20*20, 396.00 ,шт
        Алмазная мозаика рамка 21*25 , 440.00 ,шт
        Рисование по номерам 20*30, 396.00 ,шт
    Комары,,шт
        Аэрозоль Аут Комары клещи москиты мошки 150мл Черн.кр (24), 120.00 ,шт
        Аэрозоль Аут Комары москиты мошки 150мл Зелен(24), 135.00 ,шт
        Аэрозоль Убойная Сила АНТИКЛЕЩ 150мл (24), 149.80 ,шт
        Жидкость Домовой 45ночей фэмели (50), 56.00 ,шт
        Жидкость Меган 45 ночей зеленая (48), 52.80 ,шт
        Жидкость Москитол унив 45 ночей зеленая (48), 71.40 ,шт
        Жидкость Фумитокс 30ночей (48), 72.00 ,шт
        Комплект АУТ Детский фумиг+жидкость , 152.00 ,шт
        Комплект Домовой Тройной удар фумиг+жидкость (24), 147.30 ,шт
        Лента  от мух и ПИЩЕВОЙ МОЛИ  Аут /20    (уп100), 10.70 ,шт
        Лента  от мух Чистый дом ОРИГИНАЛ без кнопки /20 уп120 (1440), 10.90 ,шт
        Мухи Агита 25гр (250), 34.00 ,шт
        Мухи Байт 10гр, 18.70 ,шт
        Мухи Рубит Зарит Истребитель гран 20гр (50), 17.30 ,шт
        Мухи Рубит Спайдер не Жуж-жи 16гр (150), 15.70 ,шт
        Пластинка Антикомариные зел 10шт (250), 11.90 ,шт
        Пластинка Домовой фэмели без запаха 10шт (300), 14.40 ,шт
        Пластинка Меган зелен Противокомариные 10шт (200), 12.20 ,шт
        Пластинка Москитол универсальная (288), 19.30 ,шт
        Пластинка Оборонхим желтая (250), 14.40 ,шт
        Пластинка СГИНЬ Дохлокс комары зелен(200), 12.00 ,шт
"        Спирали Аут 4в1 Зел.уп. Комары,мошки,москиты ", 61.10 ,шт
        Спирали Москитол Комары зел (60), 69.30 ,шт
        Спирали Нетрикс  10шт (60), 57.80 ,шт
        Спирали Раптор Комары (48), 73.10 ,шт
