"SKU","Товар","Единица измерения","Цена"
"sku_ff8f70bd","Профиль угловой накладной для с/д ленты LE PRO 2000x16x16 мм цв.хром (50),","RUB","230"
"sku_31a5d276","Коннектор L-образный для с/д ленты 12В 2835 IP20 (10шт/упак) (1/100), LEEK","RUB","326"
"sku_44b2dfd1","Коннектор L-образный для с/д ленты 12В 5050 IP20 (10шт/упак) (1/100), LEEK","RUB","342"
"sku_abf3c8e9","Коннектор L-образный для с/д ленты 12В RGB IP20 (10шт/упак) (1/100), LEEK","RUB","373"
"sku_f9a5f25e","Коннектор X-образный для с/д ленты 12В RGB IP20 (10шт/упак) (1/100), LEEK","RUB","772"
"sku_09e319d1","Коннектор гибкий для с/д ленты 12В 5050 IP20 (10шт/упак) (1/10),","RUB","345"
"sku_3b00152a","Коннектор для с/д ленты 12В RGB IP20 (1 клипса с проводом) (10шт/упак) (1/10), LEEK","RUB","321"
"sku_06380f9c","Коннектор прямой для с/д ленты 12В 5050 IP20 (10шт/упак) (1/100), LEEK","RUB","126"
"sku_bc2f33a6","Коннектор прямой для с/д ленты 12В RGB IP20 (10шт/упак) (1/100), LEEK","RUB","150"
"sku_9fac5f47","Коннектор Т-образный для с/д ленты 12В 2835 IP20 (10шт/упак) (1/100), LEEK","RUB","468"
"sku_bb46575c","Коннектор Т-образный для с/д ленты 12В 5050 IP20 (10шт/упак) (1/100), LEEK","RUB","483"
"sku_f27c821e","Коннектор Т-образный для с/д ленты 12В RGB IP20 (10шт/упак) (1/100), LEEK","RUB","525"
"sku_6ca090ca","Коннектор Х-образный для с/д ленты 12В 2835 IP20 (10шт/упак) (1/100), LEEK","RUB","678"
"sku_6b27081b","Коннектор Х-образный для с/д ленты 12В 5050 IP20 (10шт/упак) (1/100), LEEK","RUB","693"
"sku_1430d3a3","F разъем  ( RG-6 ) [50 ! / 5000],","RUB","2.7"
"sku_5c8807ed","Адаптер - соединитель RJ45   2 гнезда 8p-8c   [50 !/2500] 104-502    ,","RUB","10.5"
"sku_c5bb5366","Адаптер (розетка) RJ45 компьютерная 2 гнезда кат. 5е   [25 !/250],","RUB","189"
"sku_d92b3b22","Адаптер (розетка) RJ45 компьютерная кат. 5е  [25 !/250],","RUB","110"
"sku_ca474c29","Антенный штекер  угловой большой [50 ! ] 255-130   ,","RUB","10.33"
"sku_ba75b48a","Антенный штекер  угловой круглый [50 ! ] 255-135    ,","RUB","7.25"
"sku_960f6d55","Антенный штекер PREMIUM [50 ! /2500] 255-123   ,","RUB","15.85"
"sku_dc05e18c","Коннектор 8р8с ( RJ45 ) 100/500, Китай","RUB","3.15"
"sku_26e746c1","Переходник - соединитель три гнезда F (Т-образный) [50 ! /2500),","RUB","13"
"sku_cef9aca8","Переходник гнездо F - гнездо F БОЧКА [50 ! /5000 ],","RUB","5.3"
"sku_9523dec2","Переходник гнездо F - гнездо антенное (МАМА)  [50 !) ,","RUB","9.4"
"sku_7a946968","Переходник гнездо F - гнездо антенное угловой (МАМА УГЛОВАЯ) [50 ! ] ,","RUB","20"
"sku_5b33df42","Переходник гнездо F - штекер антенный (ПАПА) [50 ! /5000],","RUB","6.4"
"sku_50b254d2","Переходник гнездо F - штекер антенный угловой (ПАПА УГЛОВОЙ) [50 ! /2500],","RUB","17.8"
"sku_e431de2e","Соединитель коаксиального кабеля [50 ! ] 255-605  ,","RUB","12.17"
"sku_86036ccf","ТВ сплиттер ( VIDEO SPLITTER) 2 way [10/500 ]254-102,","RUB","35.6"
"sku_db1ca6f3","ТВ сплиттер ( VIDEO SPLITTER) 2 way 5-1000 МГц [10/200] 254-112,","RUB","74"
"sku_1cf20d1e","ТВ сплиттер ( VIDEO SPLITTER) 3 way 5-1000 МГц [10/200] 254-113,","RUB","100"
"sku_8198b80a","ТВ сплиттер ( VIDEO SPLITTER) 4 way [101/500] 254-104,","RUB","46"
"sku_01f8f44d","ТВ сплиттер ( VIDEO SPLITTER) 4 way 5-1000 МГц [101/200] 254-114,","RUB","104"
"sku_846dea35","ТВ сплиттер (VIDEO SPLITTER) 3 way [10/500] 254-103,","RUB","40.27"
"sku_b0ba4a6f","Валик велюр без ручки 150х15х6 (1/1000),","RUB","35"
"sku_2b7ed8c9","Перчатки КНА-8 стрейчевые ВАМПИРКИ  синие ВЫСШИЙ СОРТ (12/960), Китай","RUB","17"
"sku_8736df2f","Ручка на валик 180х8 (1/125),","RUB","61"
"sku_1fb490c4","Ручка на валик 250х8 (1/230),","RUB","61"
"sku_e582a131","Смазка WD-60,","RUB","130"
"sku_6cbd22da","Светильник Navigator 61 524 NIL-SF02-011-E27 60Вт 1м. пласт. красный (1/50),","RUB","96"
"sku_7892c1a4","Светильник Navigator 61 525 NIL-SF02-012-E27 60Вт 1м. пласт. синий(1/50),","RUB","168"
"sku_f8fa367b","Светильник Navigator 61 526 NIL-SF02-013-E27 60Вт 1м. пласт. зеленый(1/50),","RUB","168"
"sku_2c36caf8","Светильник Navigator 61 527 NIL-SF02-015-E27 60Вт 1м. пласт. желтый(1/50),","RUB","168"
"sku_7b80ab65","Колодка 2-я б/з Электро, ЭЛЕКТРО","RUB","102"
"sku_c4dffd52","Колодка 2-я с/з Электро, ЭЛЕКТРО","RUB","145"
"sku_c4b570cb","Колодка 4-я с/з с выкл.Электро, ЭЛЕКТРО","RUB","242"
"sku_050ac1b7","Колодка 5-я с/з Электро, ЭЛЕКТРО","RUB","233"
"sku_82516857","Свет-к с/д встраиваемый LE LED ARL 24W 4000K (круг) (80), LEEK","RUB","501"
"sku_96bc5522","Светильник ОНЛАЙТ 90 157 OLP-SW1-12W-4K-WH-LED(167x167) (1/40), Онлайт","RUB","252.26"
"sku_9dac6214","Светильник ОНЛАЙТ 90 158 OLP-SW1-18W-4K-WH-LED(220x220) (1/40), Онлайт","RUB","334.24"
"sku_d2447fd3","Светильник ОНЛАЙТ 90 159 OLP-SW1-24W-4K-WH-LED(293x293)(1/20), Онлайт","RUB","550.92"
"sku_a4d46db6","Выкл. 2-кл. СУ / С510-861 Беж УЮТ  , BYLECTRICA","RUB","91"
"sku_3da911d5","Крышка  ЮЛИГ.735212.280-40 бежевый двухместная рамка с бежевой вставкой ""УЮТ"", BYLECTRICA","RUB","25"
"sku_a43532c3","Крышка  ЮЛИГ.735212.281-40 бежевый трехместная рамка с бежевой вставкой ""УЮТ"", BYLECTRICA","RUB","33"
"sku_86de1445","Крышка  ЮЛИГ.735212.282-40 бежевый четырехместная рамка с бежевой вставкой ""УЮТ""  , BYLECTRICA","RUB","39"
"sku_4a24601f","Крышка  ЮЛИГ.735212.283-40 Бежевый пятиместная рамка с бежевой вставкой ""УЮТ"", BYLECTRICA","RUB","50"
