"SKU","Товар","Единица измерения","Цена"
"sku_b7dbb028","Лампа ОНЛАЙТ OLL-MR16-5-230-6.5K-GU5.3 61 133, Navigator Group","RUB","41.99"
"sku_279235aa","Лампа ОНЛАЙТ OLL-MR16-7-230-3K-GU5.3  71 640, Navigator Group","RUB","43.21"
"sku_b146c26b","Лампа ОНЛАЙТ OLL-MR16-7-230-4K-GU5.3  71 641, Navigator Group","RUB","43.21"
"sku_ae6fefa3","Лампа ОНЛАЙТ OLL-MR16-7-230-6.5K-GU5.3  61 134, Navigator Group","RUB","43.21"
"sku_01d12af0","Лампа ОНЛАЙТ OLL-PAR16-10-230-4K-GU10  90 034,","RUB","56.06"
"sku_98274e28","Лампа ОНЛАЙТ OLL-R50-5-230-2.7K-E14  71 651, Navigator Group","RUB","73.44"
"sku_17c487e5","Лампа ОНЛАЙТ OLL-R50-5-230-4K-E14  71 652, Navigator Group","RUB","73.44"
"sku_d87e71fb","Лампа ОНЛАЙТ OLL-R50-7-230-4K-E14  61 897, Navigator Group","RUB","116.84"
"sku_924b045e","Лампа ОНЛАЙТ OLL-R63-8-230-2.7K-E27  71 653, Navigator Group","RUB","96.37"
"sku_1100a10c","Лампа ОНЛАЙТ OLL-R63-8-230-4K-E27  71 654, Navigator Group","RUB","96.37"
"sku_47d3730b","Лампа ОНЛАЙТ OLL-R63-8-230-6.5K-E27  61 143, Navigator Group","RUB","96.37"
"sku_9476b483","Лампа ОНЛАЙТ OLL-T100-40-230-865-E27E40  82 903, Navigator Group","RUB","218.96"
"sku_eb6df842","Лампа ОНЛАЙТ OLL-T125-50-230-865-E27Е40   82 905, Navigator Group","RUB","274.27"
"sku_c7878ef5","Лампа ОНЛАЙТ OLL-T140-70-230-865-E27E40  82 907, Navigator Group","RUB","325.4"
"sku_266f51d5","Лампа ОНЛАЙТ OLL-T160-90-230-865-E27E40  82 909, Navigator Group","RUB","592.93"
"sku_ba3ffdaf","Лампа ОНЛАЙТ OLL-T80-30-230-865-E27  82 901, Navigator Group","RUB","139.9"
"sku_80006c8d","Лампа ОНЛАЙТ 90 399 OLL-A55-11-230-4K-E27 (PRO 90-240 В),","RUB","60.72"
"sku_e38fe21f","Лампа ОНЛАЙТ 90 400 OLL-A55-11-230-6.5K-E27 (PRO 90-240 В),","RUB","60.72"
"sku_0c11e14b","Лампа ОНЛАЙТ 90 401 OLL-A60-13-230-4K-E27 (PRO 90-240 В),","RUB","65.16"
"sku_9a8a2087","Лампа ОНЛАЙТ 90 402 OLL-A60-13-230-6.5K-E27 (PRO 90-240 В),","RUB","65.16"
"sku_4aec66c5","Лампа ОНЛАЙТ 90 403 OLL-A60-17-230-4K-E27 (PRO 90-240 В),","RUB","71.11"
"sku_3bbed24b","Лампа ОНЛАЙТ 90 404 OLL-A60-17-230-6.5K-E27 (PRO 90-240 В),","RUB","71.11"
"sku_184d124f","Лампа ОНЛАЙТ 90 405 OLL-A60-21-230-4K-E27 (PRO 90-240 В),","RUB","94.4"
"sku_cc92e784","Лампа ОНЛАЙТ 90 407 OLL-A60-27-230-4K-E27 (PRO 90-240 В),","RUB","126.3"
"sku_46067be4","Лампа ОНЛАЙТ 90 409 OLL-A70-32-230-4K-E27 (PRO 90-240 В),","RUB","166.96"
"sku_d336b24b","Лампа ОНЛАЙТ 90 410 OLL-A70-32-230-6.5K-E27 (PRO 90-240 В),","RUB","166.96"
"sku_653eada5","Лампа ОНЛАЙТ 90 411 OLL-C37-9-230-4K-E14-FR (PRO 90-240 В),","RUB","54.98"
"sku_4afbee06","Лампа ОНЛАЙТ 90 412 OLL-C37-9-230-6.5K-E14-FR (PRO 90-240 В),","RUB","54.98"
"sku_44e88bdb","Лампа ОНЛАЙТ 90 413 OLL-C37-9-230-4K-E27-FR (PRO 90-240 В),","RUB","54.98"
"sku_810e1d1a","Лампа ОНЛАЙТ 90 414 OLL-C37-9-230-6.5K-E27-FR (PRO 90-240 В),","RUB","54.98"
"sku_4dea293e","Лампа ОНЛАЙТ 90 415 OLL-C37-13-230-4K-E14-FR (PRO 90-240 В),","RUB","69.88"
"sku_5bffe6ae","Лампа ОНЛАЙТ 90 417 OLL-C37-13-230-4K-E27-FR (PRO 90-240 В),","RUB","69.88"
"sku_58ae35d7","Лампа ОНЛАЙТ 90 419 OLL-G45-7-230-4K-E14-FR (PRO 90-240 В),","RUB","51.41"
"sku_ae8079db","Лампа ОНЛАЙТ 90 420 OLL-G45-7-230-6.5K-E14-FR (PRO 90-240 В),","RUB","51.41"
"sku_aff7f664","Лампа ОНЛАЙТ 90 421 OLL-G45-9-230-4K-E14-FR (PRO 90-240 В),","RUB","54.98"
"sku_a2254767","Лампа ОНЛАЙТ 90 422 OLL-G45-9-230-6.5K-E14-FR (PRO 90-240 В),","RUB","54.98"
"sku_74842d5f","Лампа ОНЛАЙТ 90 423 OLL-G45-9-230-4K-E27-FR (PRO 90-240 В),","RUB","54.98"
"sku_049b66ff","Лампа ОНЛАЙТ 90 424 OLL-G45-9-230-6.5K-E27-FR (PRO 90-240 В),","RUB","54.98"
"sku_0f1112e3","Лампа ОНЛАЙТ 90 425 OLL-G45-13-230-4K-E14-FR (PRO 90-240 В),","RUB","69.88"
"sku_283d4821","Лампа ОНЛАЙТ 90 426 OLL-G45-13-230-6.5K-E14-FR (PRO 90-240 В),","RUB","69.88"
"sku_97a8a792","Лампа ОНЛАЙТ 90 427 OLL-G45-13-230-4K-E27-FR (PRO 90-240 В),","RUB","69.88"
"sku_2e5accd3","Лампа ОНЛАЙТ 90 428 OLL-G45-13-230-6.5K-E27-FR (PRO 90-240 В),","RUB","69.88"
"sku_b5bdb6f0","Лампа ОНЛАЙТ 90 433 OLL-MR16-11-230-4K-GU5.3 (PRO 90-240 В),","RUB","67.81"
"sku_049e0d47","Лампа ОНЛАЙТ OLL-GX53-17-230-4K (PRO 90-240 В) 90 431, Navigator Group","RUB","105.52"
"sku_1d74df13","Лампа ОНЛАЙТ OLL-GX53-17-230-6.5K (PRO 90-240 В) 90 432, Navigator Group","RUB","105.52"
"sku_dbec0a74","Лампа светодиодная LED 3вт 230в G5.3 MR11 белый, FERON","RUB","99"
"sku_2549ccab","Лампа светодиодная LED 3вт 230в G5.3 MR11 дневной, FERON","RUB","99"
"sku_056b27ab","Лампа светодиодная LED 5вт Е14 теплый шар FILAMENT, FERON","RUB","84.73"
"sku_6dec326e","Лампа LED G4 12V 5W 4000K cob., ЭЛЕКТРО","RUB","91.05"
"sku_3dfd3561","Лампа LED G4 220V 5W 4000K cob., ЭЛЕКТРО","RUB","78"
"sku_8afe0d3c","Лампа LED G4 220V 5W 6500K cob., ЭЛЕКТРО","RUB","100.81"
"sku_58b75498","Лампа GE 60 вт А60 Е27 инд. уп.(10),","RUB","16.7"
"sku_b18735d0","Лампа ЛОН 25 Е27 (120шт)Киргизия,","RUB","16.7"
"sku_8e8e3ffe","Лампа ЛОН 40 Е27 (154шт)Киргизия,","RUB","16.7"
"sku_2855ca7c","Лампа ЛОН 60 Е27 (154шт)Киргизия,","RUB","16.7"
"sku_e0ffca0b","Лампа накаливания ЛОН 230-95 Е27 цветная упаковка, Калашниковский ЭЛЗ","RUB","16.7"
"sku_cd698546","Лампа накаливания ЛОН 40вт 230-40 Е27 цветная гофрированная упаковка, Калашниковский ЭЛЗ","RUB","16.7"
"sku_29d33858","Лампа накаливания ЛОН 60вт 230-60 Е27 цветная гофрированная упаковка, Калашниковский ЭЛЗ","RUB","16.7"
"sku_d69688be","Лампа накаливания ЛОН 75вт 230-75 Е27 цветная упаковка, Калашниковский ЭЛЗ","RUB","16.7"
"sku_291da3bd","РН 150Вт 230В E27 A60 термоизлуч. Калашниково, Калашниковский ЭЛЗ","RUB","25.15"
"sku_beabec48","РН 200Вт 230В E27 A65 термоизлуч. Калашниково, Калашниковский ЭЛЗ","RUB","27.35"
"sku_3603c6b6","Лампа галогенная 20вт 12в G4 капсульная SHB,","RUB","19.5"
"sku_0f094431","Лампа энергосберегающая   PL-S 11/840 4p 2G7,","RUB","126"
"sku_b0bb8741","Лампа  Navigator 82 325 NTL-T6-15-UVC-G13,","RUB","284.68"
"sku_0491879e","Лампа  Navigator 82 326 NTL-T6-30-UVC-G13,","RUB","361.32"
"sku_5c1be994","Лампа линейная люминесцентная ЛЛ 13вт EST14/Т5 864 G5 дневная, FERON","RUB","146"
"sku_ecc5b098","Лампа линейная люминесцентная ЛЛ 15вт FLU1/Т8 864 G13 дневная, FERON","RUB","144.5"
"sku_7f6a87e1","Лампа линейная люминесцентная ЛЛ 18вт L 18/765 G13 дневная Osram (1/25),","RUB","71.45"
"sku_1f9347e6","Лампа линейная люминесцентная ЛЛ 21вт EST14/Т5 864 G5 дневная, FERON","RUB","196"
"sku_99f7a721","Лампа линейная люминесцентная ЛЛ 28вт EST14/Т5 864 G5 дневная, FERON","RUB","214"
"sku_ca68776f","Лампа линейная люминесцентная ЛЛ 30вт FLU1/Т8 864 G13 дневная, FERON","RUB","172"
"sku_c6a335cf","Лампа линейная люминесцентная ЛЛ 36вт L36/765 G13 дневная Osram (1/25), PHILIPS Lighting","RUB","92.5"
"sku_bbb9473e","Лампа линейная люминесцентная ЛЛ 58вт L 58/765 G13 дневная Osram (1/25),","RUB","127"
"sku_ebfa80db","Лампа линейная люминесцентная ЛЛ 8вт EST14/Т5 864 G5 дневная, FERON","RUB","106"
"sku_99458906","Лампа Navigator 61 205 NI-T25L-25-230-E14-CL для вытяжки, Navigator Group","RUB","59.44"
"sku_154eeac0","Лампа Navigator 61 206 NI-T25L-40-230-E14-CL, Navigator Group","RUB","59.44"
"sku_363235c8","Лампа Navigator 61 207 NI-T25-15-230-E14-CL (для духовых шкафов), Navigator Group","RUB","92.46"
"sku_49bd2eb3","Лампочка в холодильник 15вт Е14 в инд.уп.(50 шт), Китай","RUB","17"
"sku_134e8682","Лампочка для духовых шкафов 15вт Е14 300*.(50 шт), Китай","RUB","25"
"sku_2bf309fd","Лампочка для ночника 10вт Е12 гофра(50 шт) кратно упаковке!, Китай","RUB","12.2"
"sku_1442f9ed","Лампочка для ночника 10вт Е12 инд.уп.(50 шт), Китай","RUB","17.65"
"sku_a15edaba","Патчкорд UTP кат. 5е, литой, многожильный, 10 м. [10/60] 108-110  ,","RUB","141.18"
"sku_24ad89b7","Патчкорд UTP кат. 5е, литой, многожильный, 15 м. [10/69] 108-115    ,","RUB","204.15"
"sku_3801051b","Патчкорд UTP кат. 5е, литой, многожильный, 2 м.  [10/380] 108-102   ,","RUB","49"
"sku_d30c2e3d","Патчкорд UTP кат. 5е, литой, многожильный, 20 м. [10/69] 108-120  ,","RUB","275"
"sku_920ec883","Патчкорд UTP кат. 5е, литой, многожильный, 30 м. [10/50] 108-130   ,","RUB","396.48"
"sku_a22ecf7f","Патчкорд UTP кат. 5е, литой, многожильный, 5 м.  [10/200] 108-105 ,","RUB","86"
"sku_6bc5bc5e","Кабель ВВГ-П нг(A)-LS 2*1.5 ок(N.PE) 0,66 КАЛУГА,","RUB","40.4"
"sku_a5fb9342","Кабель ВВГ-П нг(A)-LS 2*2.5 ок(N.PE) 0,66 КАЛУГА,","RUB","61.95"
"sku_c26eb7a6","Кабель ВВГ-П нг(A)-LS 2*4 ок(N.PE) 0,66 КАЛУГА,","RUB","98.1"
"sku_ad373509","Кабель ВВГ-П нг(A)-LS 2*6 ок(N.PE) 0,66 КАЛУГА,","RUB","142.15"
"sku_45733303","Кабель ВВГ-Пнг(А)-LS 3х1.5 ок (N.PE) 0,66 КАЛУГА,","RUB","59.45"
"sku_feaf6273","Кабель ВВГ-Пнг(А)-LS 3х4 ок (N.PE) 0,66 КАЛУГА,","RUB","146.2"
"sku_6b988da2","Кабель ВВГ-Пнг(А)-LS 3х6 ок (N.PE) 0,66 КАЛУГА,","RUB","207"
"sku_a5e83ca3","Кабель ПУГНП (ШВВП) КАЛУГА 2*1,5,","RUB","37.7"
"sku_ce577add","Кабель ПУГНП (ШВВП) КАЛУГА 2*2,5,","RUB","60"
"sku_ee1696c7","Кабель ПУГНП (ШВВП) КАЛУГА 2*4,","RUB","96.55"
"sku_7c2aed14","Кабель ПУГНП (ШВВП) КАЛУГА 3*1,5,","RUB","56.5"
"sku_850c6b3b","Кабель ПУГНП (ШВВП) КАЛУГА 3*2,5,","RUB","89.55"
"sku_4effd473","Кабель силовой гибкий КГтп-ХЛ 1х10 КАЛУГА,","RUB","122.55"
"sku_d573f5d2","Кабель силовой гибкий КГтп-ХЛ 1х16 КАЛУГА,","RUB","189.5"
"sku_a8b61ca4","Кабель силовой гибкий КГтп-ХЛ 1х25 КАЛУГА,","RUB","293.85"
"sku_2c5c0aea","Кабель силовой гибкий КГтп-ХЛ 1х35 КАЛУГА,","RUB","402.25"
"sku_988de56b","Мег. АВВГП 2х4 провод,","RUB","23.89"
"sku_0ba819a2","Мег. ВВГ-П нг 2*1.5 провод,","RUB","42.95"
"sku_95e9e8e4","Мег. ВВГ-П нг 2*2.5 провод,","RUB","64.32"
"sku_d9b1c1cd","Мег. ВВГ-П нг 2*4 провод,","RUB","96.1"
"sku_43b9888d","Мег. ВВГ-П нг 3*1.5 провод,","RUB","58.69"
"sku_a97adc82","Мег. ВВГ-П нг 3*2.5 провод,","RUB","91.9"
"sku_5e7cc973","Мег. ПВ-3  1*0.5 провод (200м),","RUB","11.16"
"sku_e5e6cd32","Мег. ПВ-3  1*0.75 провод  (200м),","RUB","15.78"
"sku_3f7eab4e","Мег. ПВ-3 1.0 провод,","RUB","16.51"
"sku_3f610cb6","Мег. ПВ-3 1.5 провод,","RUB","22.13"
"sku_7e7de6d3","Мег. ПВ-3 2.5 провод,","RUB","32.83"
"sku_221d6b7f","Мег. ПВ-3 4 провод,","RUB","46.18"
"sku_4b6ef80d","Мег. ПВ-3 6 провод,","RUB","72.26"
"sku_ef7e6f9c","Мег. ПВС 2*0.75 провод,","RUB","27.04"
"sku_91eb2972","Мег. ПВС 2*1 (черный) провод ,","RUB","35.76"
"sku_8a942988","Мег. ПВС 2*1 провод,","RUB","35.98"
"sku_2e7a5c50","Мег. ПВС 2*1,5 (черный) провод  ,","RUB","47.1"
"sku_d4851b57","Мег. ПВС 2*1.5 провод ,","RUB","47.54"
"sku_7b44218a","Мег. ПВС 2*2.5 провод ,","RUB","70.31"
"sku_514ed32e","Мег. ПВС 2*4 провод ,","RUB","100.4"
"sku_7d2267ac","Мег. ПВС 2*6 провод ,","RUB","153.27"
"sku_06715fc6","Мег. ПВС 3*1.5 провод ,","RUB","64.42"
"sku_b8c02e55","Мег. ПВС 3*2.5 провод ,","RUB","95.58"
"sku_bcabc303","Мег. ПВС 4*1.5 провод ,","RUB","81.86"
"sku_0617d0a3","Мег. ПВС 4*2.5 провод ,","RUB","126.32"
"sku_6eeb0278","Мег. ШВВП 2*0.35 провод (200м),","RUB","15.5"
"sku_c10c9431","Мег. ШВВП 2*0.5  (черный) провод,","RUB","18.75"
"sku_c795d2e8","Мег. ШВВП 2*0.5 провод,","RUB","18.84"
"sku_41029c1b","Мег. ШВВП 2*0.75 провод,","RUB","23.69"
"sku_c69ffeb4","Мег. ШВВП 2*1 провод,","RUB","30.71"
"sku_218dd267","Мег. ШВВП 2*1.5 провод,","RUB","44.1"
"sku_e96e4c8e","Мег. ШВВП 2*2.5 провод,","RUB","66.06"
"sku_2d9415ef","Мег. ШВВП 2*4 провод,","RUB","93.22"
"sku_e3e09400","Мег. ШВВП 2*6 провод,","RUB","145.33"
"sku_3dcb413d","Мег. ШВВП 3*1.5 провод,","RUB","61.75"
"sku_27fbf8d3","Мег. ШВВП 3*2.5 провод,","RUB","95.58"
"sku_a743a8b3","ПВС ГОСТ КАЛУГА 2*0,75 (200),","RUB","24"
"sku_ee3bce70","ПВС ГОСТ КАЛУГА 2*1 (200),","RUB","29.55"
"sku_9608b560","ПВС ГОСТ КАЛУГА 2*2.5 черный,","RUB","66.75"
"sku_9682b04d","ПВС ГОСТ КАЛУГА 2*4,","RUB","104.85"
"sku_48a3c361","ПВС ГОСТ КАЛУГА 2*6,","RUB","153"
"sku_bc2c12b7","ПВС ГОСТ КАЛУГА 3*1.5 (150),","RUB","58.8"
"sku_0cd583e3","ПВС ГОСТ КАЛУГА 3*2.5 ,","RUB","95.9"
"sku_950c7cd9","ПВС ГОСТ КАЛУГА 3*4 ,","RUB","151.6"
"sku_06cc3bde","Провод ПВС 4*1.5 (N)-0.66 КАЛУГА,","RUB","77.75"
"sku_e266449e","Провод ШВВП 2*2,5  МелПром, БКЗ","RUB","67.84"
"sku_9489ca8f","Кабель СИП 2Х16 (200м),","RUB","48"
"sku_656e784e","Коробка Navigator 93 247 NSS-DB-80-80-50-7-GR распаячная открытого монтажа (1/100), Navigator Group","RUB","47.51"
"sku_f0de28cb","Коробка Navigator 93 248 NSS-DB-100-100-50-8-GR распаячная открытого монтажа (1/60), Navigator Group","RUB","66.84"
"sku_c0ef085f","Коробка Navigator 93 249 NSS-DB-65-40-4-GR распаячная открытого монтажа (1/180), Navigator Group","RUB","34.8"
"sku_5fda6e59","Коробка Navigator 93 250 NSS-DB-85-40-4-GR распаячная открытого монтажа (1/120), Navigator Group","RUB","41.82"
"sku_42241dd1","Коробка Navigator 93 408 NSS-DB-150-110-70-10-GR распаячная открытого монтажа (1/28), Navigator Group","RUB","168.1"
"sku_b26f8369","Коробка Navigator 93 409 NSS-DB-190-140-70-10-GR распаячная открытого монтажа (1/18), Navigator Group","RUB","229.37"
"sku_4ee099c5","Коробка Navigator 93 410 NSS-DB-240-190-90-12-GR распаячная открытого монтажа (1/10), Navigator Group","RUB","434.58"
"sku_d30a0295","Коробка Navigator 93 756 NSS-DB-65-65-45-GR распаячная откр.монт.(без мембран) (1/150), Navigator Group","RUB","29.22"
"sku_0656e6cc","Коробка Navigator 93 757 NSS-DB-80-80-50-GR распаячная откр.монт.(без мембран) (1/100), Navigator Group","RUB","38.46"
"sku_ba7bc906","Коробка Navigator 93 758 NSS-DB-100-100-50-GR распаячная откр.монт.(без мембран) (1/60), Navigator Group","RUB","55.8"
"sku_8cef014b","Коробка КЭМ 3-10-4 П 91*91*44 (170)  , БелТИЗ","RUB","43.65"
"sku_5a7268f6","Коробка КЭМ 5-10-7 П 110*110*45 (100)  , БелТИЗ","RUB","70"
"sku_012ca154","Коробка КЭМ 5-10-7 с колодкой контактной 110*110*45 100)  , БелТИЗ","RUB","120"
"sku_3fdcaa0e","Коробка КЭМ 7-16-7 141*141*58 (40)  , БелТИЗ","RUB","100.9"
"sku_786a06a3","Коробка КЭМ 8-16-7 141*141*58 (40)  , БелТИЗ","RUB","185"
"sku_1d19e3fe","Коробка монтажная КМ-212 (СП с клеммными колодками квадратная)(1/35), BYLECTRICA","RUB","183.44"
"sku_d8cea495","Коробка монтажная КМ-222 (ОП с клеммными колодками IP44)(1/36), BYLECTRICA","RUB","155.65"
"sku_d43775a8","Коробка монтажная КМ-223 (ОП с клеммными колодками IP44 ""круг"") (1/60), BYLECTRICA","RUB","120.04"
"sku_e4c1fe15","TYCO Коробка распределительная 100мм скрытая с крышкой (78), RUVinil","RUB","24.83"
"sku_50781e76","TYCO Коробка распределительная 70мм скрытая с крышкой (1/168), RUVinil","RUB","15.96"
"sku_df6d762a","TYCO Коробка установочная 65х40мм блочная (192шт.), RUVinil","RUB","7.76"
"sku_68351700","Коробка Navigator 93 252 NSS-IB-SW-68-40-BL установочная для твердых стен (1/200), Navigator Group","RUB","9.05"
"sku_58d1ece4","Коробка Navigator 93 761 NSS-DB-SW-70-40-BL распаячная скрыт.монт.(завинч.крышк) (160), Navigator Group","RUB","14.58"
"sku_2a314cd2","Коробка Navigator 93 762 NSS-DB-SW-100-50-BL распаячная скрыт.монт.(завинч.крыш) (1/60), Navigator Group","RUB","30.84"
"sku_7076e051","Коробка Navigator 93 763 NSS-DB-SW-100-100-50-BL распаячная скрыт.монт.(крышка), Navigator Group","RUB","39.12"
"sku_94dab844","Коробка распределительная КМ41026 172х96x45мм  для полых стен,","RUB","75"
"sku_23e128e5","Подрозетник красный глубокий по бетону (1/100),","RUB","10.5"
"sku_10210c3a","Подрозетник красный стандарт по бетону (200),","RUB","7.54"
"sku_b332839d","TYCO Коробка распределительная 80мм с крышкой ГИПРОК (90), RUVinil","RUB","28.22"
"sku_627d890c","Коробка   Navigator 93 764 NSS-DB-HW-103-50-BL распаячная скрыт.(мет.лапк,крышка), Navigator Group","RUB","43.14"
"sku_b303cd0b","Коробка Navigator 93 253 NSS-IB-HW-68-45-BL установочная для полых стен (1/200), Navigator Group","RUB","11.44"
"sku_f44ae9ad","Коробка установочная ГИПРОК 65мм пластиковые лапки (200), RUVinil","RUB","10.78"
"sku_0368b832","Индикатор напряжения КОНТАКТ 53 ЭМ,","RUB","530.2"
"sku_fa332cbe","Индикатор напряжения КОНТАКТ 55 ЭМ,","RUB","545.35"
"sku_62c780d6","КОНТАКТ/прозвонка 53 М,","RUB","439.3"
"sku_07863ee0","Мультиметр  ОНЛАЙТ 90 232 OMT-Mm04-M8211 (M8211) (1/1),","RUB","869.1"
"sku_c39ee9c5","Мультиметр Онлайт 82 971 OMT-Mm02-830B (830B) (1/60), Navigator Group","RUB","362.86"
"sku_fd6dcbe4","Мультиметр Онлайт 82 972 OMT-Mm02-832 (832) (1/60), Navigator Group","RUB","390.49"
"sku_b4292e59","Мультиметр Онлайт 82 973 OMT-Mm02-838 (838) (1/60), Navigator Group","RUB","476.81"
"sku_cc616696","Тестер DT-830B,","RUB","191"
"sku_34ab06e7","Тестер DT-838 (1/100),","RUB","300"
"sku_0b3eae8e","Выключатель автоматический HL-C16/1 1- полюс, кривая отключения C, номинальный ток 16А, EATON","RUB","360"
"sku_66aece08","Выключатель автоматический HL-C20/1 1- полюс, кривая отключения C, номинальный ток 20А, EATON","RUB","372"
"sku_94592c52","Выключатель автоматический HL-C25/1 1- полюс, кривая отключения C, номинальный ток 25А, EATON","RUB","360"
"sku_4fe2e01a","Выключатель автоматический HL-C40/1 1- полюс, кривая отключения C, номинальный ток 40А, EATON","RUB","501"
"sku_15405181","Выключатель автоматический двухполюсный 10А С ВА47-29 4.5кА, IEK","RUB","359.61"
"sku_52bd7800","Выключатель автоматический двухполюсный 16А С ВА47-29 4.5кА, IEK","RUB","359.08"
"sku_607e35a7","Выключатель автоматический двухполюсный 20А С ВА47-29 4.5кА, IEK","RUB","387.84"
"sku_221fc207","Выключатель автоматический двухполюсный 25А C ВА47-29 C 4.5кА, IEK","RUB","351.25"
"sku_f4b73d7f","Выключатель автоматический двухполюсный 32А С ВА47-29 4.5кА, IEK","RUB","351.22"
"sku_f91c8683","Выключатель автоматический двухполюсный 50А С ВА47-29 4.5кА, IEK","RUB","422.58"
"sku_d0141db1","Выключатель автоматический двухполюсный 63А С ВА47-29 4.5кА, IEK","RUB","385"
"sku_7ead9cec","Выключатель автоматический однополюсный 100А С ВА47-100 10кА, IEK","RUB","753.98"
"sku_6e124ac5","Выключатель автоматический однополюсный 10А C ВА47-29 4.5кА, IEK","RUB","160.2"
"sku_f2752cb3","Выключатель автоматический однополюсный 16А C ВА47-29 4.5кА, IEK","RUB","140.03"
"sku_9c059a50","Выключатель автоматический однополюсный 20А С ВА47-29 4.5кА, IEK","RUB","168.17"
"sku_c58082e3","Выключатель автоматический однополюсный 25А C ВА47-29 4.5кА, IEK","RUB","145.33"
"sku_68969457","Выключатель автоматический однополюсный 32А C ВА47-29 4.5кА, IEK","RUB","175.64"
"sku_a8d28b3a","Выключатель автоматический однополюсный 40А C ВА47-29 4.5кА, IEK","RUB","174.1"
"sku_029521d7","Выключатель автоматический однополюсный 50А С ВА47-29 4.5кА, IEK","RUB","201.05"
"sku_873af628","Выключатель автоматический однополюсный 63А С ВА47-29 4.5кА, IEK","RUB","211.08"
"sku_e5236275","Выключатель автоматический однополюсный 6А C ВА47-29 4.5кА, IEK","RUB","175.64"
"sku_517f72c0","Выключатель автоматический трехполюсный 10А C ВА47-29 4.5кА, IEK","RUB","565.45"
"sku_25071944","Выключатель автоматический трехполюсный 16А C ВА47-29 4.5кА, IEK","RUB","532.4"
"sku_4432f265","Выключатель автоматический трехполюсный 20А С ВА47-29 4.5кА, IEK","RUB","523.69"
"sku_73b3698e","Выключатель автоматический трехполюсный 25А C ВА47-29 4.5кА, IEK","RUB","480.98"
"sku_b1af56e8","Выключатель автоматический трехполюсный 32А C ВА47-29 4.5кА, IEK","RUB","519.35"
"sku_ae03d9bc","Выключатель автоматический трехполюсный 40А C ВА47-29 4.5кА, IEK","RUB","539.64"
"sku_8b6ccd01","Выключатель автоматический трехполюсный 50А C ВА47-29 4.5кА, IEK","RUB","654.66"
"sku_48cfcb1f","Выключатель автоматический трехполюсный 63А C ВА47-29 4.5кА, IEK","RUB","642.2"
"sku_153a4e04","Контактор КМИ малогабаритный 18А катушка управления 230В АС 1НО, IEK","RUB","820"
"sku_6e41000a","Контактор КМИ малогабаритный 9А катушка управления 230В АС 1НО, IEK","RUB","637"
"sku_66381407","Реле тепловое РТИ-1316 9-13А, IEK","RUB","794"
"sku_94780ad9","Реле тепловое РТИ-1321 12-18А, IEK","RUB","733.32"
"sku_382ddb82","Реле тепловое РТИ-1322 17-25А, IEK","RUB","718"
"sku_e43ee066","Пробка-автомат. ПАР-16 (10),","RUB","258"
"sku_f7a40772","Альбатрос-220/3500-AC устройство защиты от импульсных перенапряжений, УЗИП Класс III,220В,16А,","RUB","994.5"
"sku_e458f238","Реле напряжения RUCELF SRW-16A,","RUB","925"
"sku_d3372677","Реле напряжения RUCELF SRW-63A,","RUB","980"
"sku_a6d3b71e","Реле напряжения УКН-10 р в розетку HS-ELECTRO, HS-ELECTRO","RUB","930"
"sku_974bf1df","Тепловентилятор спиральный ZTD-20 Zerten ,","RUB","870"
"sku_769e31cb","Патрон E27 с кольцом, термостойкий пластик, белый Электро, ЭЛЕКТРО","RUB","30"
"sku_dc7bf2e9","Патрон G4 керамический (мини) длина провода 15 см,","RUB","14.6"
"sku_6405706b","Патрон Е14 с прижимным кольцом пластик с проводом, Китай","RUB","20"
"sku_9bd2956a","Патрон Е14 с прижимным кольцом пластик с проводом черный, Китай","RUB","20.25"
"sku_836b3b43","Патрон Е14 термопластик с юбкой белый Электро,","RUB","20"
"sku_cbc2b94e","Патрон Е27 с прижимным кольцом пластик с проводом, Китай","RUB","20.25"
"sku_b60b8f46","Патрон Е27 термопластик подвесной белый Электро,","RUB","20.15"
"sku_9f0c400d","Патрон карболитовый Е27 настенный YK744 (200/50)  , Китай","RUB","36"
"sku_0e278495","Патрон карболитовый Е27 подвесной YK743 (200/50)  , Китай","RUB","24.26"
"sku_c67ba429","Патрон карболитовый Е27 потолочный YK745 (200/50)  , Китай","RUB","33.8"
"sku_be4f9233","Патрон карболитовый Е27 прижимным кольцом YK746 (200/50)  , Китай","RUB","36"
"sku_ffbf7bf3","Патрон керамический Е-27 (400)  , Китай","RUB","14"
"sku_ab4397da","Патрон люстровый термопластик Е14 2А 250В (1/50), Универсал","RUB","21.75"
"sku_719867e6","Патрон электрический Navigator 14 016 NLH-PL-W1-E27 пластик настенный наклонный (1/20), Navigator Group","RUB","44.94"
"sku_2aa29289","Патрон электрический Navigator 14 017 NLH-PL-W2-E27 пластик потолочный прямой (1/20), Navigator Group","RUB","44.94"
"sku_27d53306","Патрон электрический Navigator 71 600 NLH-СL-E14 керамический подвесной Е14 (1/40), Navigator Group","RUB","22"
"sku_d667a677","Патрон электрический Navigator 71 611 NLH-PL-E14  пластиковый подвесной Е14 (1/50/200), Navigator Group","RUB","15.24"
"sku_e0cc1691","Патрон электрический Navigator 71 612 NLH-PL-R-E14 пластик люстровый под кольцо (1/50/200), Navigator Group","RUB","19.99"
